id,species,category,growth_stage,farm,Duplicated_Sample,category2,category_with_pigstage
C31009,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31021,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31071,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31112,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31129,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31160,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31219,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31232,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31236,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31267,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31300,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31328,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31333,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31343,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31360,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31379,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31416,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31428,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31450,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31452,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31512,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31519,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31537,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31557,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31600,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31637,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31700,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31711,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31714,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31723,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31749,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31750,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C31766,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C530050,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C530052,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C530055,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C530074,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C530075,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C530119,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C530154,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C530163,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C530167,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C530177,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C530215,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C530227,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C530251,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C530258,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C530295,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C530315,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C530331,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C530364,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C530368,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C530394,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C530444,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C530451,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C531414,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
C531424,Human,Non_farmer_controls,,,False,Non_farmer_controls,Non_farmer_controls
F14H1A,Human,Pig_farmers,Fattening,14.0,False,Pig_farmers,Pig_farmers
F14H1B,Human,Pig_farmers,Fattening,14.0,False,Pig_farmers,Pig_farmers
F16H1,Human,Pig_farmers,Fattening,16.0,False,Pig_farmers,Pig_farmers
F1H1,Human,Pig_farmers,Fattening,1.0,False,Pig_farmers,Pig_farmers
F22H1A,Human,Pig_farmers,Fattening,22.0,False,Pig_farmers,Pig_farmers
F22HpB,Human,Pig_farmers,Fattening,22.0,False,Pig_farmers,Pig_farmers
F23HpA,Human,Pig_farmers,Fattening,23.0,False,Pig_farmers,Pig_farmers
F29H1,Human,Pig_farmers,Fattening,29.0,False,Pig_farmers,Pig_farmers
F32H1,Human,Pig_farmers,Fattening,32.0,False,Pig_farmers,Pig_farmers
F3H1,Human,Pig_farmers,Fattening,3.0,False,Pig_farmers,Pig_farmers
F6H1,Human,Pig_farmers,Fattening,6.0,False,Pig_farmers,Pig_farmers
F7H1,Human,Pig_farmers,Fattening,7.0,False,Pig_farmers,Pig_farmers
F8H1,Human,Pig_farmers,Fattening,8.0,False,Pig_farmers,Pig_farmers
S10H1,Human,Pig_farmers,Suckling,10.0,False,Pig_farmers,Pig_farmers
S11Hp,Human,Pig_farmers,Suckling,11.0,False,Pig_farmers,Pig_farmers
S12Hp,Human,Pig_farmers,Suckling,12.0,False,Pig_farmers,Pig_farmers
S13Hp,Human,Pig_farmers,Suckling,13.0,False,Pig_farmers,Pig_farmers
S14Hp,Human,Pig_farmers,Suckling,14.0,False,Pig_farmers,Pig_farmers
S15Hp,Human,Pig_farmers,Suckling,15.0,False,Pig_farmers,Pig_farmers
S16H2,Human,Pig_farmers,Suckling,16.0,False,Pig_farmers,Pig_farmers
S17H1,Human,Pig_farmers,Suckling,17.0,False,Pig_farmers,Pig_farmers
S18H1,Human,Pig_farmers,Suckling,18.0,False,Pig_farmers,Pig_farmers
S19H1,Human,Pig_farmers,Suckling,19.0,False,Pig_farmers,Pig_farmers
S1Hp,Human,Pig_farmers,Suckling,1.0,False,Pig_farmers,Pig_farmers
S20H1,Human,Pig_farmers,Suckling,20.0,False,Pig_farmers,Pig_farmers
S21H1,Human,Pig_farmers,Suckling,21.0,False,Pig_farmers,Pig_farmers
S22Hp,Human,Pig_farmers,Suckling,22.0,False,Pig_farmers,Pig_farmers
S23Hp,Human,Pig_farmers,Suckling,23.0,False,Pig_farmers,Pig_farmers
S25Hp,Human,Pig_farmers,Suckling,25.0,False,Pig_farmers,Pig_farmers
S26Hp,Human,Pig_farmers,Suckling,26.0,False,Pig_farmers,Pig_farmers
S27H1,Human,Pig_farmers,Suckling,27.0,False,Pig_farmers,Pig_farmers
S28Hp,Human,Pig_farmers,Suckling,28.0,False,Pig_farmers,Pig_farmers
S29H1,Human,Pig_farmers,Suckling,29.0,False,Pig_farmers,Pig_farmers
S2Hp,Human,Pig_farmers,Suckling,2.0,False,Pig_farmers,Pig_farmers
S30H1,Human,Pig_farmers,Suckling,30.0,False,Pig_farmers,Pig_farmers
S31Hp,Human,Pig_farmers,Suckling,31.0,False,Pig_farmers,Pig_farmers
S3Hp,Human,Pig_farmers,Suckling,3.0,False,Pig_farmers,Pig_farmers
S4Hp,Human,Pig_farmers,Suckling,4.0,False,Pig_farmers,Pig_farmers
S6Hp,Human,Pig_farmers,Suckling,6.0,False,Pig_farmers,Pig_farmers
S7Hp,Human,Pig_farmers,Suckling,7.0,False,Pig_farmers,Pig_farmers
S8Hp,Human,Pig_farmers,Suckling,8.0,False,Pig_farmers,Pig_farmers
S9H1,Human,Pig_farmers,Suckling,9.0,False,Pig_farmers,Pig_farmers
f10pp,Pig,Pigs,Fattening,10.0,False,Older_pigs,Pigs_Fattening
f11pp,Pig,Pigs,Fattening,11.0,False,Older_pigs,Pigs_Fattening
f12ppA,Pig,Pigs,Fattening,12.0,False,Older_pigs,Pigs_Fattening
f12ppB,Pig,Pigs,Fattening,12.0,True,Older_pigs,Pigs_Fattening
f13pp,Pig,Pigs,Fattening,13.0,False,Older_pigs,Pigs_Fattening
f14ppA,Pig,Pigs,Fattening,14.0,False,Older_pigs,Pigs_Fattening
f14ppB,Pig,Pigs,Fattening,14.0,True,Older_pigs,Pigs_Fattening
f15pp,Pig,Pigs,Fattening,15.0,False,Older_pigs,Pigs_Fattening
f16ppA,Pig,Pigs,Fattening,16.0,False,Older_pigs,Pigs_Fattening
f16ppB,Pig,Pigs,Fattening,16.0,True,Older_pigs,Pigs_Fattening
f17ppA,Pig,Pigs,Fattening,17.0,False,Older_pigs,Pigs_Fattening
f17ppB,Pig,Pigs,Fattening,17.0,True,Older_pigs,Pigs_Fattening
f18pp,Pig,Pigs,Fattening,18.0,False,Older_pigs,Pigs_Fattening
f19pp,Pig,Pigs,Fattening,19.0,False,Older_pigs,Pigs_Fattening
f1pp,Pig,Pigs,Fattening,1.0,False,Older_pigs,Pigs_Fattening
f20ppA,Pig,Pigs,Fattening,20.0,False,Older_pigs,Pigs_Fattening
f20ppB,Pig,Pigs,Fattening,20.0,True,Older_pigs,Pigs_Fattening
f21pp,Pig,Pigs,Fattening,21.0,False,Older_pigs,Pigs_Fattening
f22ppA,Pig,Pigs,Fattening,22.0,False,Older_pigs,Pigs_Fattening
f22ppB,Pig,Pigs,Fattening,22.0,True,Older_pigs,Pigs_Fattening
f23ppA,Pig,Pigs,Fattening,23.0,False,Older_pigs,Pigs_Fattening
f23ppB,Pig,Pigs,Fattening,23.0,True,Older_pigs,Pigs_Fattening
f24pp,Pig,Pigs,Fattening,24.0,False,Older_pigs,Pigs_Fattening
f25pp,Pig,Pigs,Fattening,25.0,False,Older_pigs,Pigs_Fattening
f26pp,Pig,Pigs,Fattening,26.0,False,Older_pigs,Pigs_Fattening
f28pp,Pig,Pigs,Fattening,28.0,False,Older_pigs,Pigs_Fattening
f29pp,Pig,Pigs,Fattening,29.0,False,Older_pigs,Pigs_Fattening
f2pp,Pig,Pigs,Fattening,2.0,False,Older_pigs,Pigs_Fattening
f30pp,Pig,Pigs,Fattening,30.0,False,Older_pigs,Pigs_Fattening
f31pp,Pig,Pigs,Fattening,31.0,False,Older_pigs,Pigs_Fattening
f32pp,Pig,Pigs,Fattening,32.0,False,Older_pigs,Pigs_Fattening
f3pp,Pig,Pigs,Fattening,3.0,False,Older_pigs,Pigs_Fattening
f4pp,Pig,Pigs,Fattening,4.0,False,Older_pigs,Pigs_Fattening
f6ppA,Pig,Pigs,Fattening,6.0,False,Older_pigs,Pigs_Fattening
f6ppB,Pig,Pigs,Fattening,6.0,True,Older_pigs,Pigs_Fattening
f7pp,Pig,Pigs,Fattening,7.0,False,Older_pigs,Pigs_Fattening
f8pp,Pig,Pigs,Fattening,8.0,False,Older_pigs,Pigs_Fattening
f9pp,Pig,Pigs,Fattening,9.0,False,Older_pigs,Pigs_Fattening
s10pp,Pig,Pigs,Suckling,10.0,False,Suckling_piglets,Pigs_Suckling
s11pp,Pig,Pigs,Suckling,11.0,False,Suckling_piglets,Pigs_Suckling
s12pp,Pig,Pigs,Suckling,12.0,False,Suckling_piglets,Pigs_Suckling
s13pp,Pig,Pigs,Suckling,13.0,False,Suckling_piglets,Pigs_Suckling
s14pp,Pig,Pigs,Suckling,14.0,False,Suckling_piglets,Pigs_Suckling
s15pp,Pig,Pigs,Suckling,15.0,False,Suckling_piglets,Pigs_Suckling
s16pp,Pig,Pigs,Suckling,16.0,False,Suckling_piglets,Pigs_Suckling
s17pp,Pig,Pigs,Suckling,17.0,False,Suckling_piglets,Pigs_Suckling
s18pp,Pig,Pigs,Suckling,18.0,False,Suckling_piglets,Pigs_Suckling
s19pp,Pig,Pigs,Suckling,19.0,False,Suckling_piglets,Pigs_Suckling
s1pp,Pig,Pigs,Suckling,1.0,False,Suckling_piglets,Pigs_Suckling
s20pp,Pig,Pigs,Suckling,20.0,False,Suckling_piglets,Pigs_Suckling
s21pp,Pig,Pigs,Suckling,21.0,False,Suckling_piglets,Pigs_Suckling
s22pp,Pig,Pigs,Suckling,22.0,False,Suckling_piglets,Pigs_Suckling
s23pp,Pig,Pigs,Suckling,23.0,False,Suckling_piglets,Pigs_Suckling
s24H1,Human,Pig_farmers,Suckling,24.0,False,Suckling_piglets,Pig_farmers
s24pp,Pig,Pigs,Suckling,24.0,False,Suckling_piglets,Pigs_Suckling
s25pp,Pig,Pigs,Suckling,25.0,False,Suckling_piglets,Pigs_Suckling
s26pp,Pig,Pigs,Suckling,26.0,False,Suckling_piglets,Pigs_Suckling
s27pp,Pig,Pigs,Suckling,27.0,False,Suckling_piglets,Pigs_Suckling
s28pp,Pig,Pigs,Suckling,28.0,False,Suckling_piglets,Pigs_Suckling
s29pp,Pig,Pigs,Suckling,29.0,False,Suckling_piglets,Pigs_Suckling
s2pp,Pig,Pigs,Suckling,2.0,False,Suckling_piglets,Pigs_Suckling
s30pp,Pig,Pigs,Suckling,30.0,False,Suckling_piglets,Pigs_Suckling
s31pp,Pig,Pigs,Suckling,31.0,False,Suckling_piglets,Pigs_Suckling
s32pp,Pig,Pigs,Suckling,32.0,False,Suckling_piglets,Pigs_Suckling
s3pp,Pig,Pigs,Suckling,3.0,False,Suckling_piglets,Pigs_Suckling
s4pp,Pig,Pigs,Suckling,4.0,False,Suckling_piglets,Pigs_Suckling
s6pp,Pig,Pigs,Suckling,6.0,False,Suckling_piglets,Pigs_Suckling
s7pp,Pig,Pigs,Suckling,7.0,False,Suckling_piglets,Pigs_Suckling
s8pp,Pig,Pigs,Suckling,8.0,False,Suckling_piglets,Pigs_Suckling
s9pp,Pig,Pigs,Suckling,9.0,False,Suckling_piglets,Pigs_Suckling
w10pp,Pig,Pigs,Weaning,10.0,False,Older_pigs,Pigs_Weaning
w11pp,Pig,Pigs,Weaning,11.0,False,Older_pigs,Pigs_Weaning
w12pp,Pig,Pigs,Weaning,12.0,False,Older_pigs,Pigs_Weaning
w13pp,Pig,Pigs,Weaning,13.0,False,Older_pigs,Pigs_Weaning
w14pp,Pig,Pigs,Weaning,14.0,False,Older_pigs,Pigs_Weaning
w15pp,Pig,Pigs,Weaning,15.0,False,Older_pigs,Pigs_Weaning
w16pp,Pig,Pigs,Weaning,16.0,False,Older_pigs,Pigs_Weaning
w17pp,Pig,Pigs,Weaning,17.0,False,Older_pigs,Pigs_Weaning
w18pp,Pig,Pigs,Weaning,18.0,False,Older_pigs,Pigs_Weaning
w19pp,Pig,Pigs,Weaning,19.0,False,Older_pigs,Pigs_Weaning
w1pp,Pig,Pigs,Weaning,1.0,False,Older_pigs,Pigs_Weaning
w20pp,Pig,Pigs,Weaning,20.0,False,Older_pigs,Pigs_Weaning
w21pp,Pig,Pigs,Weaning,21.0,False,Older_pigs,Pigs_Weaning
w22pp,Pig,Pigs,Weaning,22.0,False,Older_pigs,Pigs_Weaning
w23pp,Pig,Pigs,Weaning,23.0,False,Older_pigs,Pigs_Weaning
w24pp,Pig,Pigs,Weaning,24.0,False,Older_pigs,Pigs_Weaning
w25pp,Pig,Pigs,Weaning,25.0,False,Older_pigs,Pigs_Weaning
w26pp,Pig,Pigs,Weaning,26.0,False,Older_pigs,Pigs_Weaning
w27pp,Pig,Pigs,Weaning,27.0,False,Older_pigs,Pigs_Weaning
w28pp,Pig,Pigs,Weaning,28.0,False,Older_pigs,Pigs_Weaning
w29pp,Pig,Pigs,Weaning,29.0,False,Older_pigs,Pigs_Weaning
w2pp,Pig,Pigs,Weaning,2.0,False,Older_pigs,Pigs_Weaning
w30pp,Pig,Pigs,Weaning,30.0,False,Older_pigs,Pigs_Weaning
w31pp,Pig,Pigs,Weaning,31.0,False,Older_pigs,Pigs_Weaning
w32pp,Pig,Pigs,Weaning,32.0,False,Older_pigs,Pigs_Weaning
w3pp,Pig,Pigs,Weaning,3.0,False,Older_pigs,Pigs_Weaning
w4pp,Pig,Pigs,Weaning,4.0,False,Older_pigs,Pigs_Weaning
w6pp,Pig,Pigs,Weaning,6.0,False,Older_pigs,Pigs_Weaning
w7pp,Pig,Pigs,Weaning,7.0,False,Older_pigs,Pigs_Weaning
w8pp,Pig,Pigs,Weaning,8.0,False,Older_pigs,Pigs_Weaning
w9pp,Pig,Pigs,Weaning,9.0,False,Older_pigs,Pigs_Weaning
