	S28Hp	F8H1	w9pp	w8pp	f12ppA	f2pp	f16ppA	f3pp	f23ppB	S17H1	f10pp	w11pp	S20H1	s24H1	f8pp	w17pp	f11pp	f17ppB	f30pp	w19pp	f6ppA	w22pp	S25Hp	F6H1	S31Hp	w27pp	w31pp	w20pp	w32pp	w3pp	f19pp	w13pp	f31pp	f15pp	w1pp	w23pp	f18pp	f21pp	w10pp	s12pp	w29pp	s29pp	w26pp
S28Hp	0.0	0.20246220290246325	0.20911019323105806	0.21235297554262972	0.21528399618581928	0.23906402354342637	0.22826416756094503	0.25933001675400813	0.3366602075162726	0.3208960511415027	0.4608937393309283	0.5029380905760553	0.9040371628483577	0.9000293273780227	0.7133844334131713	0.40829886703436646	0.31799992298006824	0.29057919339853155	0.2956416079287012	0.2615090713495351	0.23610203834681748	0.17821239409159295	0.25674029107411095	0.2578126351475715	0.2544012580792972	0.186012190973943	0.22110014082476445	0.24174524821975069	0.2507916748917721	0.2316807899580635	0.23050325777445646	0.18990996336989785	0.1944180379453041	0.16440971854117253	0.15557345597682276	0.16623125660315888	0.23156362388933704	0.1780649540341939	0.18263529993889388	0.15816172092454067	0.16793861430684176	0.20904126104892895	0.15801670966825734
F8H1	0.20246220290246325	0.0	0.22230422363669758	0.22554700594826926	0.22847802659145883	0.2522580539490659	0.24145819796658455	0.2725240471596476	0.3498542379219121	0.3340900815471422	0.4740877697365678	0.5161321209816949	0.9172311932539972	0.9132233577836621	0.7265784638188107	0.42149289744000595	0.33119395338570773	0.30377322380417104	0.30883563833434075	0.2747031017551746	0.24929606875245702	0.19140642449723244	0.2699343214797505	0.271006665553211	0.2675952884849367	0.1992062213795825	0.23429417123040397	0.2549392786253902	0.26398570529741167	0.244874820363703	0.24369728818009598	0.20310399377553734	0.20761206835094362	0.17760374894681202	0.16876748638246225	0.1794252870087984	0.24475765429497653	0.1912589844398334	0.1958293303445334	0.1713557513301802	0.18113264471248128	0.22223529145456844	0.17121074007389686
w9pp	0.20911019323105806	0.22230422363669758	0.0	0.1233993462330094	0.12633036687619897	0.1737731165110124	0.16297326052853103	0.19403910972159416	0.27136930048385866	0.25560514410908874	0.39560283229851423	0.4376471835436413	0.8387462558159436	0.8347384203456086	0.6480935263807572	0.3430079600019524	0.25270901594765427	0.22528828636611758	0.23035070089628723	0.19621816431712114	0.1708111313144035	0.11292148705917894	0.2033611952417201	0.20443353931518066	0.20102216224690633	0.1326330951415521	0.16772104499237359	0.18836615238735982	0.19741257905938128	0.17830169412567262	0.1771241619420656	0.13653086753750696	0.15456701940546197	0.12455870000133037	0.1157224374369806	0.12638023806331675	0.21144053608572289	0.15794186623057974	0.16251221213527972	0.1380386331209265	0.1478155265032276	0.1889181732453148	0.15296913102770843
w8pp	0.21235297554262972	0.22554700594826926	0.1233993462330094	0.0	0.12574488034233078	0.17701589882258406	0.16621604284010272	0.19728189203316582	0.2746120827954303	0.2588479264206604	0.39884561461008594	0.440889965855213	0.8419890381275154	0.8379812026571803	0.651336308692329	0.34625074231352404	0.2559517982592259	0.22853106867768924	0.23359348320785892	0.1994609466286928	0.17405391362597517	0.11616426937075061	0.2066039775532918	0.2076763216267523	0.204264944558478	0.1358758774531238	0.17096382730394527	0.19160893469893148	0.20065536137095297	0.1815444764372443	0.18036694425363725	0.13977364984907864	0.15780980171703363	0.12780148231290206	0.11896521974855229	0.1296230203748884	0.21468331839729454	0.16118464854215142	0.16575499444685138	0.14128141543249817	0.15105830881479926	0.19216095555688645	0.15621191333928008
f12ppA	0.21528399618581928	0.22847802659145883	0.12633036687619897	0.12574488034233078	0.0	0.17994691946577362	0.16914706348329228	0.20021291267635538	0.2775431034386199	0.26177894706384996	0.40177663525327545	0.4438209864984025	0.8449200587707049	0.8409122233003699	0.6542673293355185	0.34918176295671366	0.2588828189024155	0.2314620893208788	0.23652450385104848	0.20239196727188236	0.17698493426916473	0.11909529001394017	0.20953499819648136	0.21060734226994188	0.20719596520166755	0.13880689809631336	0.17389484794713483	0.19453995534212104	0.20358638201414253	0.18447549708043387	0.18329796489682681	0.1427046704922682	0.1607408223602232	0.13073250295609162	0.12189624039174185	0.13255404101807797	0.2176143390404841	0.16411566918534098	0.16868601509004094	0.14421243607568773	0.15398932945798882	0.195091976200076	0.15914293398246965
f2pp	0.23906402354342637	0.2522580539490659	0.1737731165110124	0.17701589882258406	0.17994691946577362	0.0	0.15638949248546785	0.18745534167853095	0.26478553244079545	0.24902137606602553	0.389019064255451	0.4310634155005781	0.8321624877728805	0.8281546523025455	0.6415097583376941	0.3364241919588892	0.24612524790459106	0.21870451832305438	0.22376693285322405	0.18963439627405793	0.18315909654343582	0.12526945228821126	0.23331502555408845	0.23438736962754897	0.23097599255927465	0.16258692545392045	0.19767487530474193	0.21831998269972813	0.22736640937174962	0.20825552443804096	0.2070779922544339	0.1664846978498753	0.18452084971783028	0.15451253031369871	0.14567626774934894	0.15633406837568506	0.2413943663980912	0.18789569654294808	0.19246604244764803	0.16799246343329483	0.1777693568155959	0.2188720035576831	0.18292296134007674
f16ppA	0.22826416756094503	0.24145819796658455	0.16297326052853103	0.16621604284010272	0.16914706348329228	0.15638949248546785	0.0	0.16999716835353018	0.24732735911579468	0.23156320274102477	0.37156089093045025	0.4136052421755773	0.8147043144478797	0.8106964789775447	0.6240515850126933	0.3189660186338884	0.2286670745795903	0.2012463449980536	0.20630875952822328	0.17217622294905716	0.17235924056095447	0.1144695963057299	0.22251516957160708	0.22358751364506763	0.2201761365767933	0.15178706947143908	0.18687501932226055	0.2075201267172468	0.21656655338926825	0.1974556684555596	0.19627813627195256	0.15568484186739392	0.17372099373534894	0.14371267433121734	0.13487641176686757	0.14553421239320372	0.23059451041560985	0.1770958405604667	0.1816661864651667	0.15719260745081348	0.16696950083311457	0.20807214757520176	0.1721231053575954
f3pp	0.25933001675400813	0.2725240471596476	0.19403910972159416	0.19728189203316582	0.20021291267635538	0.18745534167853095	0.16999716835353018	0.0	0.22030488073627597	0.20454072436150605	0.3445384125509316	0.38658276379605866	0.7876818360683611	0.783674000598026	0.5970291066331747	0.2919435402543697	0.20164459620007158	0.1742238666185349	0.2199028997773727	0.18577036319820658	0.20342508975401757	0.14553544549879302	0.2535810187646702	0.2546533628381307	0.2512419857698564	0.18285291866450218	0.21794086851532365	0.2385859759103099	0.24763240258233135	0.2285215176486227	0.22734398546501566	0.18675069106045702	0.20478684292841204	0.17477852352428044	0.16594226095993067	0.17660006158626682	0.26166035960867295	0.2081616897535298	0.2127320356582298	0.18825845664387658	0.19803535002617767	0.23913799676826486	0.2031889545506585
f23ppB	0.3366602075162726	0.3498542379219121	0.27136930048385866	0.2746120827954303	0.2775431034386199	0.26478553244079545	0.24732735911579468	0.22030488073627597	0.0	0.1229193295655241	0.2629170177549496	0.30496136900007664	0.7060604412723792	0.7020526058020442	0.5154077118371927	0.21032214545838773	0.19095964091988504	0.23856001009212963	0.2972330905396372	0.26310055396047105	0.28075528051628207	0.22286563626105751	0.33091120952693465	0.3319835536003952	0.3285721765321209	0.2601831094267667	0.2952710592775881	0.3159161666725744	0.3249625933445959	0.30585170841088716	0.30467417622728016	0.26408088182272155	0.28211703369067653	0.25210871428654497	0.24327245172219517	0.2539302523485313	0.33899055037093745	0.2854918805157943	0.2900622264204943	0.2655886474061411	0.27536554078844216	0.31646818753052935	0.280519145312923
S17H1	0.3208960511415027	0.3340900815471422	0.25560514410908874	0.2588479264206604	0.26177894706384996	0.24902137606602553	0.23156320274102477	0.20454072436150605	0.1229193295655241	0.0	0.2043415004116875	0.2463858516568145	0.647484923929117	0.643477088458782	0.45683219449393053	0.15174662811512563	0.17519548454511513	0.22279585371735972	0.2814689341648673	0.24733639758570114	0.26499112414151216	0.2071014798862876	0.31514705315216474	0.3162193972256253	0.312808020157351	0.24441895305199676	0.2795069029028182	0.3001520102978045	0.30919843696982596	0.29008755203611725	0.28891001985251025	0.2483167254479516	0.2663528773159066	0.23634455791177503	0.22750829534742525	0.2381660959737614	0.32322639399616754	0.2697277241410244	0.2742980700457244	0.24982449103137117	0.25960138441367225	0.30070403115575944	0.2647549889381531
f10pp	0.4608937393309283	0.4740877697365678	0.39560283229851423	0.39884561461008594	0.40177663525327545	0.389019064255451	0.37156089093045025	0.3445384125509316	0.2629170177549496	0.2043415004116875	0.0	0.1981955842094722	0.5992946564817748	0.5952868210114398	0.40864192704658825	0.19849627162447883	0.3151931727345406	0.3627935419067852	0.4214666223542928	0.3873340857751266	0.40498881233093764	0.34709916807571306	0.45514474134159033	0.45621708541505085	0.4528057083467765	0.38441664124142233	0.4195045910922438	0.44014969848723	0.44919612515925145	0.43008524022554284	0.4289077080419358	0.3883144136373772	0.4063505655053322	0.3763422461012006	0.3675059835368508	0.37816378416318697	0.46322408218559313	0.40972541233045	0.41429575823514997	0.38982217922079676	0.39959907260309785	0.44070171934518504	0.4047526771275787
w11pp	0.5029380905760553	0.5161321209816949	0.4376471835436413	0.440889965855213	0.4438209864984025	0.4310634155005781	0.4136052421755773	0.38658276379605866	0.30496136900007664	0.2463858516568145	0.1981955842094722	0.0	0.4883641166850433	0.4843562812147083	0.2977113872498567	0.24054062286960584	0.3572375239796677	0.40483789315191226	0.46351097359941984	0.4293784370202537	0.4470331635760647	0.3891435193208401	0.4971890925867174	0.4982614366601779	0.4948500595919036	0.4264609924865494	0.46154894233737087	0.4821940497323571	0.4912404764043785	0.4721295914706699	0.47095205928706285	0.43035876488250424	0.4483949167504593	0.41838659734632766	0.4095503347819779	0.42020813540831403	0.5052684334307201	0.4517697635755771	0.45634010948027703	0.4318665304659238	0.4416434238482249	0.4827460705903121	0.44679702837270574
S20H1	0.9040371628483577	0.9172311932539972	0.8387462558159436	0.8419890381275154	0.8449200587707049	0.8321624877728805	0.8147043144478797	0.7876818360683611	0.7060604412723792	0.647484923929117	0.5992946564817748	0.4883641166850433	0.0	0.3945024005577566	0.4360705247624448	0.6416396951419084	0.7583365962519701	0.8059369654242148	0.8646100458717223	0.8304775092925561	0.8481322358483672	0.7902425915931426	0.8982881648590197	0.8993605089324803	0.8959491318642059	0.8275600647588517	0.8626480146096732	0.8832931220046594	0.8923395486766809	0.8732286637429723	0.8720511315593652	0.8314578371548066	0.8494939890227616	0.81948566961863	0.8106494070542802	0.8213072076806164	0.9063675057030225	0.8528688358478793	0.8574391817525793	0.8329656027382261	0.8427424961205272	0.8838451428626144	0.847896100645008
s24H1	0.9000293273780227	0.9132233577836621	0.8347384203456086	0.8379812026571803	0.8409122233003699	0.8281546523025455	0.8106964789775447	0.783674000598026	0.7020526058020442	0.643477088458782	0.5952868210114398	0.4843562812147083	0.3945024005577566	0.0	0.4320626892921098	0.6376318596715734	0.7543287607816351	0.8019291299538798	0.8606022104013873	0.8264696738222211	0.8441244003780322	0.7862347561228076	0.8942803293886847	0.8953526734621453	0.8919412963938709	0.8235522292885167	0.8586401791393382	0.8792852865343244	0.8883317132063459	0.8692208282726372	0.8680432960890302	0.8274500016844716	0.8454861535524266	0.815477834148295	0.8066415715839452	0.8172993722102814	0.9023596702326875	0.8488610003775443	0.8534313462822443	0.828957767267891	0.8387346606501922	0.8798373073922794	0.843888265174673
f8pp	0.7133844334131713	0.7265784638188107	0.6480935263807572	0.651336308692329	0.6542673293355185	0.6415097583376941	0.6240515850126933	0.5970291066331747	0.5154077118371927	0.45683219449393053	0.40864192704658825	0.2977113872498567	0.4360705247624448	0.4320626892921098	0.0	0.4509869657067219	0.5676838668167837	0.6152842359890283	0.6739573164365359	0.6398247798573697	0.6574795064131806	0.5995898621579562	0.7076354354238333	0.7087077794972938	0.7052964024290195	0.6369073353236653	0.6719952851744868	0.6926403925694731	0.7016868192414945	0.6825759343077858	0.6813984021241788	0.6408051077196202	0.6588412595875752	0.6288329401834436	0.6199966776190938	0.63065447824543	0.7157147762678361	0.6622161064126929	0.666786452317393	0.6423128733030397	0.6520897666853408	0.693192413427428	0.6572433712098216
w17pp	0.40829886703436646	0.42149289744000595	0.3430079600019524	0.34625074231352404	0.34918176295671366	0.3364241919588892	0.3189660186338884	0.2919435402543697	0.21032214545838773	0.15174662811512563	0.19849627162447883	0.24054062286960584	0.6416396951419084	0.6376318596715734	0.4509869657067219	0.0	0.26259830043797877	0.31019866961022335	0.3688717500577309	0.3347392134785648	0.3523939400343758	0.29450429577915127	0.40254986904502843	0.403622213118489	0.4002108360502147	0.3318217689448605	0.3669097187956819	0.38755482619066817	0.39660125286268966	0.37749036792898094	0.37631283574537394	0.33571954134081533	0.3537556932087703	0.32374737380463875	0.314911111240289	0.3255689118666251	0.4106292098890313	0.3571305400338881	0.3617008859385881	0.3372273069242349	0.347004200306536	0.3881068470486232	0.35215780483101683
f11pp	0.31799992298006824	0.33119395338570773	0.25270901594765427	0.2559517982592259	0.2588828189024155	0.24612524790459106	0.2286670745795903	0.20164459620007158	0.19095964091988504	0.17519548454511513	0.3151931727345406	0.3572375239796677	0.7583365962519701	0.7543287607816351	0.5676838668167837	0.26259830043797877	0.0	0.21989972555592524	0.2785728060034328	0.24444026942426667	0.2620949959800777	0.20420535172485313	0.31225092499073026	0.31332326906419083	0.3099118919959165	0.2415228248905623	0.27661077474138374	0.29725588213637	0.3063023088083915	0.28719142387468277	0.2860138916910758	0.24542059728651713	0.26345674915447215	0.23344842975034055	0.22461216718599078	0.23526996781232692	0.32033026583473306	0.26683159597958994	0.2714019418842899	0.2469283628699367	0.2567052562522378	0.29780790299432497	0.2618588607767186
f17ppB	0.29057919339853155	0.30377322380417104	0.22528828636611758	0.22853106867768924	0.2314620893208788	0.21870451832305438	0.2012463449980536	0.1742238666185349	0.23856001009212963	0.22279585371735972	0.3627935419067852	0.40483789315191226	0.8059369654242148	0.8019291299538798	0.6152842359890283	0.31019866961022335	0.21989972555592524	0.0	0.2511520764218961	0.21701953984272998	0.234674266398541	0.17678462214331644	0.28483019540919363	0.28590253948265415	0.2824911624143798	0.2141020953090256	0.24919004515984708	0.2698351525548333	0.27888157922685475	0.25977069429314614	0.2585931621095391	0.21799986770498045	0.23603601957293546	0.20602770016880387	0.1971914376044541	0.20784923823079024	0.2929095362531964	0.23941086639805323	0.24398121230275321	0.2195076332884	0.2292845266707011	0.2703871734127883	0.23443813119518192
f30pp	0.2956416079287012	0.30883563833434075	0.23035070089628723	0.23359348320785892	0.23652450385104848	0.22376693285322405	0.20630875952822328	0.2199028997773727	0.2972330905396372	0.2814689341648673	0.4214666223542928	0.46351097359941984	0.8646100458717223	0.8606022104013873	0.6739573164365359	0.3688717500577309	0.2785728060034328	0.2511520764218961	0.0	0.18010770048514527	0.23973668092871067	0.18184703667348612	0.2898926099393633	0.29096495401282385	0.28755357694454947	0.21916450983919528	0.25425245969001675	0.274897567085003	0.28394399375702445	0.2648331088233158	0.26365557663970873	0.22306228223515012	0.24109843410310514	0.21109011469897354	0.20225385213462377	0.2129116527609599	0.297971950783366	0.2444732809282229	0.2490436268329229	0.22457004781856968	0.23434694120087077	0.27544958794295793	0.23950054572535157
w19pp	0.2615090713495351	0.2747031017551746	0.19621816431712114	0.1994609466286928	0.20239196727188236	0.18963439627405793	0.17217622294905716	0.18577036319820658	0.26310055396047105	0.24733639758570114	0.3873340857751266	0.4293784370202537	0.8304775092925561	0.8264696738222211	0.6398247798573697	0.3347392134785648	0.24444026942426667	0.21701953984272998	0.18010770048514527	0.0	0.20560414434954455	0.14771450009432	0.2557600733601971	0.2568324174336577	0.2534210403653834	0.18503197326002915	0.22011992311085063	0.24076503050583686	0.24981145717785833	0.23070057224414967	0.22952304006054264	0.188929745655984	0.206965897523939	0.17695757811980742	0.16812131555545765	0.1787791161817938	0.26383941420419993	0.21034074434905678	0.21491109025375676	0.19043751123940356	0.20021440462170464	0.24131705136379183	0.20536800914618547
f6ppA	0.23610203834681748	0.24929606875245702	0.1708111313144035	0.17405391362597517	0.17698493426916473	0.18315909654343582	0.17235924056095447	0.20342508975401757	0.28075528051628207	0.26499112414151216	0.40498881233093764	0.4470331635760647	0.8481322358483672	0.8441244003780322	0.6574795064131806	0.3523939400343758	0.2620949959800777	0.234674266398541	0.23973668092871067	0.20560414434954455	0.0	0.11132084295694275	0.23035304035747955	0.23142538443094007	0.22801400736266575	0.15962494025731155	0.19471289010813303	0.21535799750311924	0.22440442417514073	0.20529353924143207	0.204116007057825	0.1635227126532664	0.18155886452122139	0.15155054511708982	0.14271428255274005	0.15337208317907616	0.2384323812014823	0.18493371134633918	0.18950405725103914	0.16503047823668593	0.17480737161898702	0.2159100183610742	0.17996097614346784
